cadenaID,clusterID,clusterORDEN,clusterCODIGO,clusterTITULO,clusterURL,clusterCOLORFONDO,clusterCOLORTEXTO,clusterDESCRIPCION,clusterFCHCREADO,clusterUSRCREO,clusterFCHMODIFICADO,clusterUSRMODIFICO,clusterFCHDESACTIVADO,clusterUSRDESACTIVO,clusterFCHBORRADO,clusterUSRBORRO,clusterESTADO,actividadClusterPADREID,actividadClusterID,actividadClusterORDEN,actividadClusterCODIGO,actividadClusterTITULO,actividadClusterDESCRIPCION,actividadClusterENLACE,actividadClusterEMAIL,actividadClusterIMAGEN,actividadClusterPDF,actividadClusterFCHCREADO,actividadClusterUSRCREA,actividadClusterFCHMODIFICADO,actividadClusterUSRMODIFICA,actividadClusterFCHDESACTIVADO,actividadClusterUSRDESACTIVA,actividadClusterFCHBORRADO,actividadClusterUSRBORRA,actividadClusterESTADO,macroSectorCODIGO,macroSectorTITULO,ciiuSeccionCODIGO,ciiuSeccionTITULO,ciiuActividadID,ciiuVIGENCIA,ciiuActividadPADRE,ciiuActividadCODIGO,ciiuActividadTITULO,ciiuActividadDESCRIPCION,ciiuSeccionID,macroSectorID
3,7,99,LOGISTICA,Logistica,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:38:08 UTC,,,,,,ACTIVO,0,38,99,674dd8f8620fb,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,N,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,657,ACTIVA,656,7710,Alquiler y arrendamiento de vehículos automotores,,14,2
2,8,99,TURISMO,Turismo,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,27,99,674dd8f861882,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,R,"ACTIVIDADES ARTÍSTICAS, DE ENTRETENIMIENTO Y RECREACIÓN",784,ACTIVA,783,9200,Actividades de juegos de azar y apuestas,,18,2
2,8,99,TURISMO,Turismo,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,16,99,674dd8f861094,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,I,ALOJAMIENTO Y SERVICIOS DE COMIDA,511,ACTIVA,506,5519,Otros tipos de alojamiento para visitantes,,9,2
2,8,99,TURISMO,Turismo,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,7,99,674dd8f8609e3,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,R,"ACTIVIDADES ARTÍSTICAS, DE ENTRETENIMIENTO Y RECREACIÓN",780,ACTIVA,778,9102,"Actividades y funcionamiento de museos, conservación de edificios y sitios históricos",,18,2
2,8,99,TURISMO,Turismo,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,26,99,674dd8f8617c6,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,I,ALOJAMIENTO Y SERVICIOS DE COMIDA,528,ACTIVA,527,5630,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,,9,2
2,8,99,TURISMO,Turismo,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,11,99,674dd8f860ccf,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,R,"ACTIVIDADES ARTÍSTICAS, DE ENTRETENIMIENTO Y RECREACIÓN",792,ACTIVA,790,9329,Otras actividades recreativas y de esparcimiento n.c.p.,,18,2
2,8,99,TURISMO,Turismo,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,24,99,674dd8f861652,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,I,ALOJAMIENTO Y SERVICIOS DE COMIDA,525,ACTIVA,524,5621,Catering para eventos,,9,2
2,8,99,TURISMO,Turismo,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,15,99,674dd8f860fba,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,I,ALOJAMIENTO Y SERVICIOS DE COMIDA,510,ACTIVA,506,5514,Alojamiento rural,,9,2
2,8,99,TURISMO,Turismo,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,9,99,674dd8f860b59,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,R,"ACTIVIDADES ARTÍSTICAS, DE ENTRETENIMIENTO Y RECREACIÓN",788,ACTIVA,786,9312,Actividades de clubes deportivos,,18,2
2,8,99,TURISMO,Turismo,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,19,99,674dd8f8612d7,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,I,ALOJAMIENTO Y SERVICIOS DE COMIDA,517,ACTIVA,516,5590,Otros tipos de alojamiento n.c.p.,,9,2
